modern,original
I have promissory notes from Florence that I have to deliver .,"Alas , sir , it is worse for me than so , For I have bills for money by exchange From Florence , and must here deliver them ."
Don't think about her .,Forget to think of her .
"It's stopped now , it must be played for some local god of the island .","It sounds no more , and sure , it waits upon Some god o ' th ' island ."
"This is a miracle , if you talk of miracles .","Here is a wonder , if you talk of a wonder ."
"Rise , princes , and , with a spirit of honor more sharply edged than your swords , rush to the battlefield : Charles Delabreth , High Constable of France ; you dukes of Orleans , Bourbon , Berri , Alencon , Brabant , Bar , and Burgundy ; Jaques Chatillon , Rambures , Vaudemont , Beaumont , Grandpre , Roussi , and Fauconberg , Foix , Lestrale , Bouciqualt , and Charolois .","Up , princes , and , with spirit of honor edged More sharper than your swords , hie to the field : Charles Delabreth , High Constable of France ; You dukes of Orleans , Bourbon , and of Berri , Alencon , Brabant , Bar , and Burgundy ; Jacques Chatillon , Rambures , Vaudemont , Beaumont , Grandpre , Roussi , and Faulconbridge , Foix , Lestrale , Bouciqualt , and Charolois ; High dukes , great princes , barons , lords , and knights , For your great seats now quit you of great shames ."
Macbeth !,Macbeth !
"Good roaring , Lion !","Well roared , Lion !"
"Tybalt is dead , and Romeo has been banished.""","Tybalt is dead , and Romeo banished."""
"Well , let's hope your good fortune continues !","God hold it , to your Honor's good content !"
That will tell you a lot .,Much will be seen in that .
"Me too , I won't , I swear to God .","Nor I , my lord , in faith ."
Didn't they ever whisper ?,"What , did they never whisper ?"
"More than anything else in the world , I love you , value you , and honor you .","I Beyond all limit of what else i ' th ' world Do love , prize , honor you ."
"Honestly , she is too ill-tempered .","In faith , she's too curst ."
Why Dover ?,Wherefore to Dover ?
then you beautiful miser why do you abuse,then beauteous niggard why dost thou abuse
"I know that , sir .","I know it well , sir ."
"Some are born great , some achieve greatness , and some have greatness thrust upon them .","Some are born great , some achieve greatness , and some have greatness thrust upon 'em ."
Will you come ?,Will you go ?
"I want this to provoke confrontations , so I can give him a piece of my mind .","I would breed from hence occasions , and I shall , That I may speak ."
We want Antony taken alive .,Our will is Antony be took alive .
"I've had enough of this ""off with you ! "" Come on , let me in !","Here's too much ""out upon thee ! "" I pray thee , let me in ."
"My servants might overhear , and old Gremio is still hanging around , so we might be interrupted .","Besides , old Gremio is heark'ning still , And happily we might be interrupted ."
"Good-bye , good-bye , good-bye .","Adieu , adieu , adieu ."
"If I'm telling the truth like a fool in saying all this , whip the first person who thinks I sound foolish .","If I speak like myself in this , let him be whipped that first finds it so ."
Here's to your health .,Here's to thy health .
wishing i were someone with better prospects,wishing me like to one more rich in hope
Are you sick ?,Are you not well ?
But I haven't eaten anything yet .,"Why , I have eat none yet ."
"And the men resemble their English hounds in their loud , showy ferocity , too , leaving their brains behind with their wives .","Just , just ; and the men do sympathize with the mastiffs in robustious and rough coming on , leaving their wits with their wives ."
Caesar is listening .,Caesar is turned to hear .
"Oh Lord , my spirits are tired !","O Jupiter , how weary are my spirits !"
You should listen to reason .,You should hear reason .
"Mark Antony will say I'm not well , and to please you I'll stay at home .","Mark Antony shall say I am not well , And for thy humor I will stay at home ."
Lucius !,"Lucius ! , Fast asleep ?"
"Oh , sin can disguise itself so artfully !","Oh , what authority and show of truth Can cunning sin cover itself withal !"
"Fool , speak well of yourself .","Fool , of thyself speak well ."
"I do , and it sounds like you're talking in your sleep .","I do , and surely It is a sleepy language , and thou speak'st Out of thy sleep ."
"But the really unbelievable thing is , and this is incredible , As most unbelievable things are .","But the rarity of it is , which is indeed almost beyond credit , As many vouched rarities are ."
"I could cure you , if you just called me Rosalind and came by my cottage every day to woo me .",I would cure you if you would but call me Rosalind and come every day to my cote and woo me .
"Jesus , let's kill him !","Zounds , he dies !"
I've written to my sister telling her everything he's said .,What he hath uttered I have writ my sister .
and then believe me my love is as beautiful,and then believe me my love is as fair
"The king has heard them , but as yet has made no answer .","The king hath heard them , to the which as yet There is no answer made ."
"Carriage"" makes it sound like it's pulling around a cannon .",The phrase would be more germane to the matter if we could carry cannon by our sides .
Fulvia is dead .,Fulvia is dead .
The police are here .,Here come the officers .
"No , my lord .","No , my lord ."
I said she was .,I have said .
"Why , sir , must he ?","And why , sir , must they so ?"
"Oh , she's ten times nicer than her father is mean , and he's the height of crabbiness .","Oh , she is Ten times more gentle than her father's crabbed , And he's composed of harshness ."
"Yes , yes .","Ay , ay ."
"Since Cleopatra died , I have lived in such dishonor that the gods despise my disgrace .",Since Cleopatra died I have lived in such dishonor that the gods Detest my baseness .
It only looks a little paler .,It looks a little paler .
What are they doing in the north when they should be in the west serving their king ?,What do they in the north When they should serve their sovereign in the west ?
Saw who ?,Saw who ?
"He's shouting at the wind to blow the earth into the sea , or make the sea flood the earth , he wants to see the world return to primal chaos .","Bids the winds blow the earth into the sea Or swell the curled water 'bove the main , That things might change or cease ."
